base_verb,english_meaning,ana,ni7na,inta,inte,into,huwe,hiyye,hinne
ymun,has authority,bmun,mnmun,btmun,btmune,btmuno,bymun,btmun,bymuno
ymut,to die,bmut,mnmut,btmut,btmute,btmuto,bymut,btmut,bymuto
yn2el,to move,ben2el,mnen2el,bten2el,bten2le,bten2lo,byen2el,bten2el,byen2lo
yna22e,to choose,bna22e,mnna22e,btna22e,btna22e,btna22o,byna22e,btna22e,byna22o
ynafes,to compete,bnafes,mnnafes,btnafes,btnafse,btnafso,bynafes,btnafes,bynafso
ynashef,to dry,bnashef,mnnashef,btnashef,btnashfe,btnashfo,bynashef,btnashef,bynashfo
ynazzem,to organize,bnazzem,mnnazzem,btnazzem,btnazzme,btnazzmo,bynazzem,btnazzem,bynazzmo
ynbe,to flourish/boom,benbe,mnenbe,btenbe,btenbe,btenbo,byenbe,btenbe,byenbo
yne2ish,to debate,bne2esh,mnne2esh,btne2esh,btne2she,btne2sho,byne2esh,btne2esh,byne2sho
yne7dar,to watch,bne7dar,mnne7dar,btne7dar,btne7dare,btne7daro,byne7dar,btne7dar,byne7daro
yneda,to call for,bneda,mnneda,btneda,btnede,btnedo,byneda,btneda,bynedo
ynem,to sleep,bnem,mnnem,btnem,btneme,btnemo,bynem,btnem,bynemo
yokhlot,to mix,bokhlot,mnokhlot,btokhlot,btokhilte,btokhilto,byokhlot,btokhlot,byokhilto
yor2os,to dance,bor2os,mnor2os,btor2os,btor2ose,btor2oso,byor2os,btor2os,byor2oso
yostodem,to clash,bostodem,mnostodem,btostodem,btostodme,btostodmo,byostodem,btostodem,byostodmo
yotbokh,to cook,botbokh,mnotbokh,btotbokh,btotbkhe,btotbkho,byotbokh,btotbokh,byotbkho
yotlob,to order,botlob,mnotlob,btotlob,btotlbe,btotlbo,byotlob,btotlob,byotlbo
yra22e2,to soften,bra22e2,mnra22e2,btra22e2,btra22e2e,btra22e2o,byra22e2,btra22e2,byra22e2o
yra2eb,to watch/observe,bra2eb,mnra2eb,btra2eb,btra2be,btra2bo,byra2eb,btra2eb,byra2bo
yrajje3,to bring back,brajje3,mnrajje3,btrajje3,btrajj3e,btrajj3o,byrajje3,btrajje3,byrajj3o
yrakkez,to focus,brakkez,mnrakkez,btrakkez,btrakkze,btrakkzo,byrakkez,btrakkez,byrakkzo
yrattab,to organize,brattab,mnrattab,btrattab,btrattbe,btrattbo,byrattab,btrattab,byrattbo
yratteb,to organize,bratteb,mnratteb,btratteb,btrattbe,btrattbo,byratteb,btratteb,byrattbo
yrbot,to tie/link,brbot,mnrbot,btrbot,btrobte,btrobto,byrbot,btrbot,byrobto
yro7,to go,bro7,mnro7,btro7,btro7e,btro7o,byro7,btro7,byro7o
yrodd,to reply,brodd,mnrodd,btrodd,btrodde,btroddo,byrodd,btrodd,byroddo
yrou7,to go,brou7,mnrou7,btrou7,btrou7e,btrou7o,byrou7,btrou7,byrou7o
yru7,to go,bru7,mnru7,btru7,btru7e,btru7o,byru7,btru7,byru7o
ysabbet,to stabilize,bsabbet,mnsabbet,btsabbet,btsabbte,btsabbto,bysabbet,btsabbet,bysabbto
ysaddi2,to believe,bsaddi2,mnsaddi2,btsaddi2,btsaddi2e,btsaddi2o,bysaddi2,btsaddi2,bysaddi2o
ysaffi,to clear up,bsaffi,mnsaffi,btsaffi,btsaffe,btsaffo,bysaffi,btsaffi,bysaffo
ysakker,to close,bsakker,mnsakker,btsakker,btsakkre,btsakkro,bysakker,btsakker,bysakkro
ysakkib,to serve/pour,bsakkib,mnsakkib,btsakkib,btsakkbe,btsakkbo,bysakkib,btsakkib,bysakkbo
ysalle,to pray,bsalle,mnsalle,btsalle,btsalle,btsallo,bysalle,btsalle,bysallo
ysalle7,to fix/repair,bsalle7,mnsalle7,btsalle7,btsall7e,btsall7o,bysalle7,btsalle7,bysall7o
ysallem,to greet,bsallem,mnsallem,btsallem,btsallme,btsallmo,bysallem,btsallem,bysallmo
ysammi,to name,bsammi,mnsammi,btsammi,btsamme,btsammo,bysammi,btsammi,bysammo
ysarrekh,to yell/scream,bsarrekh,mnsarrekh,btsarrekh,btsarrkhe,btsarrkho,bysarrekh,btsarrekh,bysarrkho
ysawwer,to take picture,bsawwer,mnsawwer,btsawwer,btsawwre,btsawwro,bysawwer,btsawwer,bysawwro
ysayye7,to cry out,bsayye7,mnsayye7,btsayye7,btsayy7e,btsayy7o,bysayye7,btsayye7,bysayy7o
yse3ed,to help,bse3ed,mnse3ed,btse3ed,btse3de,btse3do,byse3ed,btse3ed,byse3do
yse3id,to help,bse3id,mnse3id,btse3id,btse3de,btse3do,byse3id,btse3id,byse3do
yseer,to become,bseer,mnseer,btseer,btseere,btseero,byseer,btseer,byseero
ysefer,to travel,bsefer,mnsefer,btsefer,btsefre,btsefro,bysefer,btsefer,bysefro
yseken,to reside,bseken,mnseken,btseken,btsekne,btsekno,byseken,btseken,bysekno
yshabbeh,to compare/liken,bshabbeh,mnshabbeh,btshabbeh,btshabbhe,btshabbho,byshabbeh,btshabbeh,byshabbho
ysharre2,to spark,bsharre2,mnsharre2,btsharre2,btsharr2e,btsharr2o,bysharre2,btsharre2,bysharr2o
yshayyik,to dress up,bshayyik,mnshayyik,btshayyik,btshayyke,btshayyko,byshayyik,btshayyik,byshayyko
ysherik,to share,bsherik,mnsherik,btsherik,btsherke,btsherko,bysherik,btsherik,bysherko
yshoof,to see,bshoof,mnshoof,btshoof,btshoofe,btshoofo,byshoof,btshoof,byshoofo
yshref,to overlook,beshref,mneshref,bteshref,bteshrfe,bteshrfo,byeshref,bteshref,byeshrfo
ysir,to become,bsir,mnsir,btsir,btsire,btsiro,bysir,btsir,bysiro
ysobb,to pour,bsobb,mnsobb,btsobb,btsobbe,btsobbo,bysobb,btsobb,bysobbo
ysou2,to drive,bsou2,mnsou2,btsou2,btsou2e,btsou2o,bysou2,btsou2,bysou2o
ytalfen,to call (phone),btalfen,mntalfen,bttalfen,bttalfne,bttalfno,bytalfen,bttalfen,bytalfno
ytatabba3,to track,btatabba3,mntatabba3,bttatabba3,bttatabba3e,bttatabba3o,bytatabba3,bttatabba3,bytatabba3o
ytayyer,to fly something,btayyer,mntayyer,bttayyer,bttayyre,bttayyro,bytayyer,bttayyer,bytayyro
ytejir,to trade,btejir,mntejir,bttejir,bttejre,bttejro,bytejir,bttejir,bytejro
ytir,to fly,btir,mntir,bttir,bttire,bttiro,bytir,bttir,bytiro
ytwassa,to take care of,btwassa,mntwassa,bttwassa,bttwasse,bttwasso,bytwassa,bttwassa,bytwasso
yuntur,to wait for,bnter,mnenter,btenter,btentre,btentro,byenter,btenter,byentro
yutaleb,to demand,btaleb,mntaleb,bttaleb,bttalbe,bttalbo,bytaleb,bttaleb,bytalbo
ywa2e3,to fall,bwa2e3,mnwa2e3,btwa2e3,btwa23e,btwa23o,bywa2e3,btwa2e3,bywa23o
ywa2ef,to stop,bwa2ef,mnwa2ef,btwa2ef,btwa2fe,btwa2fo,bywa2ef,btwa2ef,bywa2fo
ywefe2,to agree,bwefe2,mnwefe2,btwefe2,btwef2e,btwef2o,bywefe2,btwefe2,bywef2o
ywsal,to arrive,bwsal,mnwsal,btwsal,btwsale,btwsalo,bywsal,btwsal,bywsalo
yzabbet,to fix,bzabbet,mnzabbet,btzabbet,btzabbte,btzabbto,byzabbet,btzabbet,byzabbto
yzid,to add/increase,bzid,mnzid,btzid,btzide,btzido,byzid,btzid,byzido
yzur,to visit,bzur,mnzur,btzur,btzure,btzuro,byzur,btzur,byzuro
zara3,to plant,bezra3,mnezra3,btezra3,btezra3e,btezra3o,byezra3,btezra3,byezra3o
ze3el,to be sad,bez3al,mnez3al,btez3al,btez3ale,btez3alo,byez3al,btez3al,byez3alo
